,name,github_id,category,show,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,github_release_downloads,monthly_downloads,trending
0,umap,lmcinnes/umap,visualization,True,https://github.com/lmcinnes/umap,https://github.com/lmcinnes/umap,BSD-3-Clause,2017-07-02 01:11:17,2021-04-14 20:01:52,2021-04-14 20:01:52,497.0,232.0,246.0,4652,1392.0,2021-02-08 20:01:30,0.5.1,24.0,Uniform Manifold Approximation and Projection.,2728.0,2728.0,77.0,25,1,,,
1,biopython,biopython/biopython,others,True,https://github.com/biopython/biopython,https://github.com/biopython/biopython,,2009-03-15 21:09:53,2021-04-14 02:11:01,2021-04-14 02:11:01,1198.0,327.0,875.0,2671,14745.0,,,,Official git repository for Biopython (originally converted from CVS).,6824.0,6824.0,371.0,24,1,,,
2,snakemake,snakemake/snakemake,workflow,True,https://github.com/snakemake/snakemake,https://github.com/snakemake/snakemake,MIT,2019-10-04 14:58:11,2021-04-15 12:24:36,2021-04-15 12:06:39,202.0,372.0,223.0,928,4056.0,2021-04-07 08:44:55,6.1.1,62.0,"This is the development home of the workflow management system Snakemake. For general information, see.",786.0,786.0,198.0,24,1,,,
3,nextflow,nextflow-io/nextflow,workflow,True,https://github.com/nextflow-io/nextflow,https://github.com/nextflow-io/nextflow,Apache-2.0,2013-03-27 11:17:33,2021-04-15 10:58:14,2021-04-14 13:35:40,321.0,146.0,1518.0,1358,4470.0,2020-11-01 17:28:25,20.10.0,100.0,A DSL for data-driven computational pipelines.,,,97.0,22,2,44386.0,752.0,
4,MultiQC,ewels/MultiQC,others,True,https://github.com/ewels/MultiQC,https://github.com/ewels/MultiQC,GPL-3.0,2015-08-04 13:47:05,2021-04-14 10:25:05,2021-04-14 10:24:59,363.0,152.0,804.0,717,4111.0,2021-03-31 23:06:55,1.10.1,23.0,Aggregate results from bioinformatics analyses across many samples into a single report.,146.0,146.0,152.0,22,1,44.0,0.0,
5,bedtools2,arq5x/bedtools2,bed-gtf-gff,True,https://github.com/arq5x/bedtools2,https://github.com/arq5x/bedtools2,MIT,2013-12-09 21:18:03,2021-03-22 13:30:18,2021-03-22 13:30:18,245.0,140.0,536.0,674,2064.0,2021-01-23 20:10:40,2.30.0,21.0,bedtools - the swiss army knife for genome arithmetic.,,,86.0,22,1,373092.0,4239.0,
6,picard,broadinstitute/picard,sam-bam-cram,True,https://github.com/broadinstitute/picard,https://github.com/broadinstitute/picard,MIT,2014-03-28 20:43:35,2021-04-15 14:15:26,2021-04-14 18:02:34,295.0,176.0,462.0,662,2919.0,2021-04-09 18:30:13,2.25.2,100.0,A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as..,,,138.0,22,1,167380.0,3804.0,
7,igv.js,igvteam/igv.js,visualization,True,https://github.com/igvteam/igv.js,https://github.com/igvteam/igv.js,MIT,2014-08-26 21:15:32,2021-04-13 20:01:27,2021-04-13 20:01:27,138.0,43.0,801.0,421,4665.0,2021-03-12 16:04:03,2.7.9,39.0,Embeddable genomic visualization component based on the Integrative Genomics Viewer.,91.0,91.0,51.0,21,2,,,
8,deepvariant,google/deepvariant,variant-caller,True,https://github.com/google/deepvariant,https://github.com/google/deepvariant,BSD-3-Clause,2017-11-23 01:56:22,2021-04-14 03:37:00,2021-03-31 18:23:13,541.0,1.0,395.0,2248,1503.0,2020-12-07 17:56:31,1.1.0,15.0,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA..,,,19.0,20,1,3230.0,80.0,
9,samtools,samtools/samtools,sam-bam-cram,True,https://github.com/samtools/samtools,https://github.com/samtools/samtools,,2012-03-09 02:49:58,2021-04-14 15:09:51,2021-04-12 14:27:45,448.0,171.0,687.0,1069,2265.0,2021-03-17 16:21:16,1.12,13.0,Tools (written in C using htslib) for manipulating next-generation sequencing data.,,,79.0,20,1,813772.0,10996.0,
